ReportName,Account,SecType,SecGroup,Cusip,Ticker,Issuer,AmountOutstanding,Analyst,Currency,Duration,Leh,Maturity,Moodys,Oas,Price,SAndP,Ytw,Coupon
Account,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUSIP,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Account,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Account,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Account,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Index Analytics (BRS),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Index Analytics (BRS),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IndexByAccount,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IndexByAccount,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUSIPHistory,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUSIPHistory,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUSIP,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUSIP,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IndexByAccount,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Analytics (BRS),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUSIP,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUSIPHistory,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUSIPHistory,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IndexByAccount,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Index,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IndexByAccount,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUSIPHistory,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUSIP,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUSIP,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IndexByAccount,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUSIP,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
CUSIP,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
CUSIP,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
CUSIP,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
CUSIP,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
CUSIP,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
CUSIP,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
CUSIP,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
CUSIP,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
CUSIP,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
CUSIP,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
CUSIP,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
CUSIP,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
CUSIP,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
CUSIP,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
CUSIP,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
CUSIP,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
CUSIP,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
Account,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IndexByAccount,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CUSIP,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
CUSIP,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
CUSIP,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
Account,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUSIP,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
CUSIP,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
CUSIP,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
Account,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUSIP,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
Account,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
Account,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
Account,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
Index,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Index,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
IndexByAccount,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IndexByAccount,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IndexByAccount,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AccountHistory_Detail,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Index Analytics (BRS),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Index Analytics (BRS),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Index Analytics (BRS),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Index Analytics (BRS),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Index Analytics (BRS),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Index Analytics (BRS),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Index Analytics (BRS),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Index Analytics (BRS),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Index Analytics (BRS),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IndexByAccount,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUSIP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
IndexByAccount,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Index,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Index,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Index,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Index,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IndexByAccount,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IndexByAccount,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IndexByAccount,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Index,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUSIP,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUSIP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUSIP,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Analytics (BRS),1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUSIP,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUSIP,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IndexByAccount,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IndexByAccount,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IndexByAccount,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IndexByAccount,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUSIP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IndexByAccount,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IndexByAccount,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IndexByAccount,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AccountHistory_Detail,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IndexByAccount,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IndexByAccount,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IndexByAccount,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AccountHistory_Detail,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUSIP,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUSIP,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUSIP,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUSIP,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Analytics (BRS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CUSIP,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUSIP,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUSIP,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUSIP,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Account,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Analytics (BRS),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Analytics (BRS),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Analytics (BRS),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUSIP,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUSIP,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUSIP,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUSIP,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUSIP,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUSIP,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUSIP,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUSIP,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUSIP,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUSIP,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUSIP,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUSIP,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUSIP,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUSIP,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUSIP,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUSIP,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUSIP,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUSIP,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUSIP,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUSIP,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUSIP,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CUSIP,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
CUSIP,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Account,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUSIP,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUSIP,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUSIP,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUSIP,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Index,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IndexByAccount,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IndexByAccount,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IndexByAccount,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AccountHistory_Detail,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IndexByAccount,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IndexByAccount,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IndexByAccount,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AccountHistory_Detail,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Index Analytics (BRS),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUSIP,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AccountHistory_Detail,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUSIP,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUSIP,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUSIP,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Index,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
WA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUSIP,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUSIP,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Index,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
